status,path,category,insertions,deletions,baseline_sha256,updated_sha256
M,.github/workflows/ci.yml,CI/CD,6,0,70a9f217039ee9286ea684fee7663dd963373897d372912b973716668f7d2f45,1404303bd2b169eabc7bb72bf1f6cf8d9073870ff208304585175921d7eff33f
A,CHANGESET_TRACEABILITY_2026-09-20.md,Traceability,130,0,,860b2b7bae62be1e582d9b4bfe54e7a65e460182267aeab70d309e6e211e4aa9
M,TITECH_PLATFORM_TRUTH.md,Platform truth,30,0,327432f6b7daf9a24fd5aa37ae67e6616f3a312c25929e10904a46376451174b,4ea68ee1ea53560b0393e88fd04f0ea55f7727a01dd9914b4bda1335bfc4bdaf
M,backend/controllers/contributionsController.js,Financial API,2,7,97358f00aa6841dea8924721af99aedddbb5e520fc42cae588fd0f5e9ba6b507,7f925f31f3814c16d087f3a471e566042f6194162189ec2e8c846dfa9f238528
M,backend/controllers/financial/financial.controller.js,Financial API,24,24,bb01b595e3f3fd54df95ea1a8ccabc00b4ee6516b89adca0d5b6b55ecc61204a,9fcad7c35b6a2f54c22e8d0b1d167d4b903cd9ca79a6d655a4f8a91d475f1127
M,backend/middleware/idempotency.js,Idempotency,2,7,edee0968432f54997f1d2f497f5985b8d6ef20f03f50a35435edbb1180a065d2,f0d5044a24bb4f47c9140f8fa52e36d5c06987cd14a8c8383e1e925dde60fcba
M,backend/package.json,Backend tooling,1,0,d695074aed4eaef35cd4a13633719803f4472044e31dcc236324265bd831f8ae,1896de6dc1c61a199b05d0be37a84293cebd4ef354ee84b308074e1959d672ec
M,backend/services/financial/financialOperation.service.js,Financial core,39,80,bce3920090d3b195ad257220f67e9206999b0e46bec3d3802fb14ec12fabf731,35af5998d3821c7549fe7ada4a95f58253b0248e97bf0d563f1e0dc4d1287260
M,backend/services/financial/financialTransaction.service.js,Financial core,18,20,492b873686ed2352ec25dc8c4b32e97fcbd11ecff6f08e3eb49f5411e92a436e,930bcd8d7140714ebe84016c69450ec3f372c15ca93dc6dc29f7415eb898b954
A,backend/services/financial/money.js,Financial core,159,0,,455d703952fc7cf49c6227a3af4c97876f90392edc1c1a37598ffea8ec345d2e
M,backend/services/idempotency/idempotency.service.js,Idempotency,19,21,08943a1fa618058c6e38a0a872037aa65b92d8947ddd7016822d3da928fb83d3,6a33491e09988a23f01a5039e536f27049ab87e0bb03affa57d4e510186128bc
M,backend/services/idempotency/idempotency.store.js,Idempotency,2,12,adbcb92fbc96acb4f529fc23f59ef55584bcebb054d204c2aea9f6761e8cea82,7837b620130a824a6eda3b1574479a9d12b46d5f1edbf5492c96382bfdc69aaf
A,backend/tests/unit/financial/money.test.js,Testing,34,0,,8143b41502e2f2adcd1ec87f6a6b64ef5025889a65a888d68b583af25cf25dd8
A,docs/RUNTIME_IMPORT_AUDIT.json,Evidence / documentation,1768,0,,4a7b983b80bac036dfb5dcb262a2219b39e0fb66e29125cdb5f01c54b8f26eef
A,docs/RUNTIME_IMPORT_AUDIT.md,Evidence / documentation,21,0,,fe1b1d383735db04deb1eebd4f050cecbd6642816d903e6e7267b17d957a5453
M,package.json,Repository tooling,3,1,adf295b1b34dd5b7e5b4167ee0cfb99a79c459415e50fe6f24f708799e6a9652,8c909d92b8a2a90d78fedc76014aae813c3d838dd6db368fe269676c07a8b966
A,scripts/financial-static-gate.mjs,Quality gates,97,0,,395656618ebfa7cd7f9f30d6a1aa9c058fbe66b8c9b1c6472443727c296502ed
A,scripts/runtime-import-audit.mjs,Quality gates,110,0,,10b04db7eb6d334fbb3b0e2d421fa9603a3d691c0e3fda641bd98d13214d480f
